통계표명:,"취업자수, 실업자, 실업률, 청년실업률",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단위:,"만명, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"2003
01월","2003
02월","2003
03월","2003
04월","2003
05월","2003
06월","2003
07월","2003
08월","2003
09월","2003
10월","2003
11월","2003
12월","2004
01월","2004
02월","2004
03월","2004
04월","2004
05월","2004
06월","2004
07월","2004
08월","2004
09월","2004
10월","2004
11월","2004
12월","2005
01월","2005
02월","2005
03월","2005
04월","2005
05월","2005
06월","2005
07월","2005
08월","2005
09월","2005
10월","2005
11월","2005
12월","2006
01월","2006
02월","2006
03월","2006
04월","2006
05월","2006
06월","2006
07월","2006
08월","2006
09월","2006
10월","2006
11월","2006
12월","2007
01월","2007
02월","2007
03월","2007
04월","2007
05월","2007
06월","2007
07월","2007
08월","2007
09월","2007
10월","2007
11월","2007
12월","2008
01월","2008
02월","2008
03월","2008
04월","2008
05월","2008
06월","2008
07월","2008
08월","2008
09월","2008
10월","2008
11월","2008
12월","2009
01월","2009
02월","2009
03월","2009
04월","2009
05월","2009
06월","2009
07월","2009
08월","2009
09월","2009
10월","2009
11월","2009
12월","2010
01월","2010
02월","2010
03월","2010
04월","2010
05월","2010
06월","2010
07월","2010
08월","2010
09월","2010
10월","2010
11월","2010
12월","2011
01월","2011
02월","2011
03월","2011
04월","2011
05월","2011
06월","2011
07월","2011
08월","2011
09월","2011
10월","2011
11월","2011
12월","2012
01월","2012
02월","2012
03월","2012
04월","2012
05월","2012
06월","2012
07월","2012
08월","2012
09월","2012
10월","2012
11월","2012
12월","2013
01월","2013
02월","2013
03월","2013
04월","2013
05월","2013
06월","2013
07월","2013
08월","2013
09월","2013
10월","2013
11월","2013
12월","2014
01월","2014
02월","2014
03월","2014
04월","2014
05월","2014
06월","2014
07월","2014
08월","2014
09월","2014
10월","2014
11월","2014
12월","2015
01월","2015
02월","2015
03월","2015
04월","2015
05월","2015
06월","2015
07월","2015
08월","2015
09월","2015
10월","2015
11월","2015
12월","2016
01월","2016
02월","2016
03월","2016
04월","2016
05월","2016
06월","2016
07월","2016
08월","2016
09월","2016
10월","2016
11월","2016
12월","2017
01월","2017
02월","2017
03월","2017
04월","2017
05월"
취업자?증감,22.0,7.8,6.7,-14.5,-8.5,-13.2,-7.8,-9.7,-18.9,-8.6,3.6,4.4,37.4,50.7,53.4,51.7,36.8,43.9,29.4,25.5,50.8,44.9,37.7,39.8,14.2,8.0,20.5,26.2,46.0,42.4,43.4,46.5,23.9,28.4,38.9,20.5,39.3,32.7,27.2,30.7,28.6,25.5,26.3,31.8,28.2,27.8,26.7,29.0,25.8,26.2,27.3,27.8,27.4,31.5,30.3,29.3,29.2,28.7,28.1,26.8,23.5,21.0,18.4,19.1,18.1,14.7,15.3,15.9,11.2,9.7,7.8,-1.2,-10.3,-14.2,-19.5,-18.8,-21.9,0.4,-7.6,0.3,7.1,1.0,-1.0,-1.6,0.5,12.5,26.7,40.1,58.6,31.4,47.3,38.6,24.9,31.6,30.3,45.5,33.1,46.9,46.9,37.9,35.5,47.2,33.5,49.0,26.4,50.1,47.9,44.1,53.6,44.7,41.9,45.5,47.2,36.5,47.0,36.4,68.5,39.6,35.3,27.7,32.2,20.1,24.9,34.5,26.5,36.0,36.7,43.2,46.3,47.6,58.8,56.0,70.5,83.5,64.9,58.1,41.3,39.8,50.5,59.4,45.1,40.6,43.8,42.2,34.7,37.6,33.8,21.6,37.9,32.9,32.6,25.6,34.7,34.8,28.5,49.5,33.9,22.3,30.0,25.2,26.1,35.4,29.8,38.7,26.7,27.8,33.9,28.9,24.3,37.1,46.6,42.4,37.5
-?농림어업,-3.1,0.7,-6.0,-10.5,-12.8,-13.7,-14.7,-15.9,-18.0,-16.4,-13.6,-19.4,-10.7,-9.1,-7.4,-14.5,-17.3,-16.3,-17.8,-14.5,-14.8,-12.2,-13.0,-2.6,-8.2,-9.3,-7.4,0.3,7.7,6.3,7.6,1.5,-0.2,-2.9,1.1,-9.3,-4.7,-1.6,-4.5,-8.9,-6.0,-4.9,-5.6,-1.6,-1.4,0.4,-0.8,1.1,-2.8,-4.6,-5.1,-4.2,-5.1,-6.3,-7.9,-7.1,-6.4,-6.7,-6.3,-7.1,-6.4,-6.7,-6.0,-4.6,-6.0,-5.7,-4.7,-3.8,-2.8,-2.2,4.2,0.4,1.5,0.6,2.2,-0.1,-4.9,-2.5,-2.2,-3.4,-1.9,-2.9,-15.1,-16.9,-16.0,-14.3,-18.8,-12.8,-8.7,-3.9,-4.0,-3.5,-5.8,-5.5,-5.0,0.1,-10.4,-5.1,7.1,1.2,2.7,-2.9,-5.5,-3.9,-5.9,-3.3,-1.2,-2.5,3.6,-3.7,-9.2,-2.9,-2.1,-2.1,1.3,-2.0,1.3,-1.9,2.5,-1.2,-1.5,-1.5,0.5,-2.2,-4.1,-1.9,0.3,2.8,2.6,1.5,-3.1,-2.7,4.7,2.9,-4.1,-2.9,-5.8,-7.6,-11.1,-12.5,-12.8,-14.6,-8.5,-9.4,-10.4,-8.7,-7.0,-13.5,-12.3,-12.3,-9.1,-11.5,-12.0,-12.4,-16.8,-2.7,-7.4,-6.1,-2.8,-6.0,-9.9,-9.8,-11.1,-6.7,-6.5,-4.6,3.1,-2.4,-0.9,-1.0,-5.6,-1.3,0.3
-?제조업,-10.4,-8.1,-3.8,-2.5,-1.7,-1.6,0.8,-7.5,-7.6,-1.8,-1.1,1.7,11.0,12.0,10.0,8.6,3.4,9.1,9.1,11.1,13.3,8.7,5.8,0.4,-1.1,-1.6,-3.5,-4.8,-2.2,-5.3,-6.6,-4.8,-8.2,-6.6,-9.1,-3.1,-4.6,-7.0,-9.0,-8.7,-8.6,-8.1,-7.0,-6.4,-7.8,-6.4,-6.6,-7.7,-4.6,-4.8,-5.7,-4.9,-4.4,-3.1,-4.4,-5.9,-3.1,-3.9,-4.5,-1.7,-2.5,-1.2,-1.6,-2.4,-3.2,-4.6,-4.7,-4.7,-6.3,-9.2,-8.6,-13.3,-12.7,-17.6,-18.6,-15.5,-14.0,-15.7,-17.3,-13.8,-11.8,-8.7,-4.3,-1.6,2.9,4.5,11.0,14.5,19.0,18.1,23.8,29.7,25.2,24.1,28.4,28.4,22.4,26.2,19.8,11.6,10.1,11.8,4.0,-2.8,-4.8,-5.5,-8.5,-8.5,-11.4,-8.8,-10.4,-8.0,-6.7,-5.1,3.4,8.0,13.9,14.4,16.4,11.2,15.6,7.9,12.3,16.5,10.5,9.6,5.3,0.5,2.1,3.1,3.5,8.2,9.0,13.5,14.3,9.6,14.8,16.5,19.1,21.9,17.3,14.2,10.2,14.2,14.1,15.9,11.6,16.7,14.0,13.3,17.0,15.6,16.6,19.7,19.0,14.6,14.5,10.8,12.4,4.8,5.0,1.5,-6.5,-7.4,-7.6,-11.5,-10.2,-11.5,-16.0,-9.2,-8.3,-6.2,-2.5
-?건설업,15.4,11.9,12.7,7.8,5.6,5.3,2.6,8.2,1.3,2.4,5.4,4.6,3.7,2.9,1.6,2.4,0.6,0.1,-5.8,-4.9,1.2,3.8,0.1,-0.8,-5.4,-9.6,-5.7,-1.6,5.2,6.7,8.5,6.9,-1.3,-1.0,-0.7,-7.8,1.4,3.9,4.6,2.9,0.4,-1.7,-2.1,1.5,4.0,2.3,1.7,4.9,4.9,4.8,4.5,5.1,2.1,2.0,0.4,-1.3,-0.7,-0.9,-1.3,-0.5,-0.8,-1.8,-4.1,-3.0,-4.0,-6.9,-3.4,-3.5,-5.1,-4.2,-3.2,-4.8,-4.1,-1.7,-7.1,-12.8,-12.5,-8.8,-12.7,-10.5,-7.5,-14.7,-11.5,-5.8,-8.1,-8.7,-1.6,1.9,4.6,6.7,11.8,10.9,4.9,9.4,5.0,2.5,1.5,2.7,-5.0,-5.7,-2.7,-4.2,-5.5,-0.1,-5.0,4.1,6.6,10.6,8.6,7.7,7.4,5.3,3.3,1.4,2.7,-3.5,5.8,-0.3,-3.5,-8.2,-4.8,-9.5,-5.1,-1.0,-1.3,0.3,1.1,-0.7,0.7,-1.4,-1.8,0.5,1.8,5.9,0.5,-0.3,1.4,2.3,5.7,6.4,5.1,4.7,8.4,8.3,7.0,6.8,7.9,6.3,4.2,2.9,2.5,1.0,-0.1,-2.7,-3.7,0.7,1.7,-0.6,-3.3,-3.7,-2.2,-2.4,0.1,7.1,4.1,5.9,11.1,8.6,8.5,14.5,16.4,16.1,16.2
-?서비스업,20.6,3.7,4.0,-9.0,0.7,-3.2,3.4,5.4,5.2,7.2,13.1,17.4,33.0,44.4,49.2,55.2,50.0,51.4,44.3,34.1,51.5,44.7,44.9,43.3,29.6,28.9,37.4,32.0,34.7,34.4,33.5,42.7,33.9,39.0,47.6,40.0,46.8,37.8,36.4,45.7,43.3,39.9,40.2,37.7,32.3,30.5,30.9,29.4,26.6,28.7,32.0,30.3,33.6,37.7,41.7,43.2,38.9,39.9,38.8,35.5,32.3,29.9,28.9,26.7,29.2,31.0,26.6,25.8,24.3,24.9,15.5,16.3,5.0,3.8,2.7,10.3,9.4,26.4,24.0,27.6,26.8,26.2,29.4,22.7,22.4,32.7,38.7,38.7,46.0,12.5,18.2,3.6,3.1,5.3,3.2,15.3,20.3,22.7,24.3,30.5,26.0,43.6,41.0,57.2,43.3,55.5,52.5,46.2,54.2,51.4,56.4,52.6,53.1,41.7,39.4,33.0,46.6,27.0,18.7,25.2,22.0,22.2,15.6,18.4,18.7,26.2,28.2,38.6,39.7,43.2,59.8,49.6,54.4,61.2,55.1,53.1,32.7,30.4,38.8,45.3,36.7,37.2,34.5,29.2,24.2,23.1,19.6,10.8,31.5,28.2,21.2,19.4,29.2,29.2,28.4,35.4,24.1,17.6,22.9,30.2,32.5,45.4,46.5,45.7,36.9,39.0,31.1,34.5,24.1,32.3,32.2,45.0,34.1
실업자,84.0,85.7,84.3,79.3,78.5,79.5,82.7,81.0,76.7,80.1,82.6,87.0,90.8,95.3,93.2,86.2,83.3,79.9,86.5,84.8,79.2,80.9,81.9,89.9,98.0,98.9,95.6,90.4,85.2,87.8,88.8,84.3,87.0,87.0,78.5,82.7,86.9,95.3,92.1,84.6,78.3,81.9,82.3,80.7,76.6,78.9,76.8,78.4,85.1,86.1,84.0,81.7,77.9,77.7,79.5,75.6,71.9,73.3,73.3,73.6,77.5,81.9,81.0,78.4,75.3,76.4,76.9,76.4,72.2,73.6,75.0,78.7,84.8,92.4,95.2,93.3,93.8,96.0,92.8,90.5,82.6,79.9,81.9,83.4,121.6,116.9,100.5,93.4,79.3,87.8,93.1,83.1,85.7,83.2,73.7,85.3,91.8,109.5,107.3,93.6,81.9,83.9,83.7,76.2,75.8,73.6,73.0,75.4,85.3,104.2,94.5,89.5,80.7,82.2,79.5,76.4,75.2,71.8,71.0,73.7,84.7,99.0,88.3,82.5,79.7,81.3,82.8,78.3,72.0,72.4,70.0,77.4,89.1,117.8,102.4,103.0,95.1,94.9,91.2,89.0,84.9,85.8,81.8,88.6,98.8,120.3,107.6,105.3,102.2,105.0,99.8,92.3,86.6,83.9,82.9,86.8,98.8,131.7,115.5,107.5,100.5,100.4,97.5,99.6,98.6,92.3,85.4,86.7,100.9,135.0,114.3,117.4,100.3
실업률(%),3.8,3.8,3.7,3.5,3.4,3.4,3.6,3.5,3.3,3.4,3.6,3.8,4.0,4.2,4.0,3.7,3.5,3.4,3.7,3.6,3.4,3.4,3.5,3.8,4.2,4.3,4.1,3.8,3.5,3.6,3.7,3.6,3.6,3.6,3.3,3.5,3.7,4.1,3.9,3.5,3.2,3.4,3.4,3.4,3.2,3.3,3.2,3.3,3.6,3.7,3.5,3.4,3.2,3.2,3.2,3.1,3.0,3.0,3.0,3.1,3.3,3.5,3.4,3.2,3.0,3.1,3.1,3.1,3.0,3.0,3.1,3.3,3.6,3.9,4.0,3.8,3.8,3.9,3.7,3.7,3.4,3.2,3.3,3.5,5.0,4.9,4.1,3.8,3.2,3.5,3.7,3.3,3.4,3.3,3.0,3.5,3.8,4.5,4.3,3.7,3.2,3.3,3.3,3.0,3.0,2.9,2.9,3.0,3.5,4.2,3.7,3.5,3.1,3.2,3.1,3.0,2.9,2.8,2.8,2.9,3.4,4.0,3.5,3.2,3.0,3.1,3.1,3.0,2.7,2.8,2.7,3.0,3.5,4.5,3.9,3.9,3.6,3.5,3.4,3.3,3.2,3.2,3.1,3.4,3.8,4.6,4.0,3.9,3.8,3.9,3.7,3.4,3.2,3.1,3.1,3.2,3.7,4.9,4.3,3.9,3.7,3.6,3.5,3.6,3.6,3.4,3.1,3.2,3.8,5.0,4.2,4.2,3.6
청년실업자,45.0,46.0,42.1,37.9,37.5,38.1,40.9,37.0,33.5,36.7,40.7,45.2,47.7,48.2,45.6,39.9,40.7,39.9,40.5,37.0,34.6,37.5,38.0,44.4,46.3,44.9,43.1,39.6,36.0,37.6,41.6,35.4,33.6,34.0,34.4,37.6,38.4,41.0,39.3,36.9,33.0,36.9,38.3,33.7,32.8,36.4,34.3,36.2,34.6,35.9,33.4,34.5,31.8,32.8,35.6,30.2,30.8,29.0,32.1,32.4,32.4,32.6,33.3,33.0,30.7,34.6,33.4,31.2,26.3,28.4,29.1,32.4,35.6,37.2,37.5,34.8,33.3,37.2,37.9,35.2,32.0,31.1,32.5,32.4,41.1,43.3,37.9,36.6,27.4,35.5,37.6,29.5,29.8,28.8,26.6,33.6,36.3,35.7,39.7,36.6,31.1,32.0,33.2,26.5,25.6,27.6,27.9,32.1,33.9,35.0,34.7,35.7,34.2,32.3,31.4,26.6,27.0,27.6,27.1,30.4,31.1,37.1,34.6,34.0,30.7,32.7,35.2,31.3,32.0,31.8,30.9,35.5,37.2,47.3,41.2,42.6,36.6,40.7,39.1,36.4,35.8,33.6,33.2,38.1,39.5,48.4,45.5,44.5,40.6,44.9,41.6,34.5,34.1,31.8,34.9,36.5,41.3,56.0,52.0,48.4,43.3,46.7,41.9,41.6,41.6,37.1,34.9,36.6,36.8,54.8,50.1,50.5,41.9
청년실업률(%),8.8,9.0,8.4,7.6,7.6,7.7,7.9,7.4,6.9,7.5,8.2,8.9,9.3,9.5,9.1,8.0,8.1,8.0,7.9,7.6,7.0,7.6,7.7,8.9,9.3,9.0,8.8,8.2,7.4,7.8,8.3,7.4,7.2,7.2,7.3,7.9,8.0,8.7,8.5,8.0,7.1,8.0,8.0,7.4,7.3,8.0,7.5,7.9,7.4,7.8,7.5,7.6,7.0,7.2,7.6,6.7,7.0,6.5,7.1,7.3,7.1,7.3,7.6,7.5,6.9,7.8,7.4,7.1,6.1,6.6,6.8,7.6,8.2,8.7,8.8,8.0,7.6,8.4,8.5,8.2,7.6,7.5,7.7,7.6,9.3,10.0,9.0,8.6,6.4,8.3,8.5,7.0,7.2,7.0,6.4,8.0,8.5,8.5,9.5,8.7,7.3,7.6,7.6,6.3,6.3,6.7,6.8,7.7,8.0,8.3,8.3,8.5,8.0,7.7,7.3,6.4,6.7,6.9,6.7,7.5,7.5,9.1,8.6,8.4,7.4,7.9,8.3,7.6,7.7,7.8,7.5,8.5,8.7,10.9,9.9,10.0,8.7,9.5,8.9,8.4,8.5,8.0,7.9,9.0,9.2,11.1,10.7,10.2,9.3,10.2,9.4,8.0,7.9,7.4,8.1,8.4,9.5,12.5,11.8,10.9,9.7,10.3,9.2,9.3,9.4,8.5,8.2,8.4,8.6,12.3,11.3,11.2,9.3
