date,취업자증감,농림어업,제조업,건설업,서비스업,실업자,실업률,청년실업자,청년실업률
201608,38.7,-6.7,-7.4,7.1,45.7,99.6,3.6,41.6,9.3
201609,26.7,-6.5,-7.6,4.1,36.9,98.6,3.6,41.6,9.4
201610,27.8,-4.6,-11.5,5.9,39,92.3,3.4,37.1,8.5
201611,33.9,3.1,-10.2,11.1,31.1,85.4,3.1,34.9,8.2
201612,28.9,-2.4,-11.5,8.6,34.5,86.7,3.2,36.6,8.4
201701,24.3,-0.9,-16,8.5,24.1,100.9,3.8,36.8,8.6
201702,37.1,-1,-9.2,14.5,32.3,135,5,54.8,12.3
201703,46.6,-5.6,-8.3,16.4,32.2,114.3,4.2,50.1,11.3
201704,42.4,-1.3,-6.2,16.1,45,117.4,4.2,50.5,11.2
201705,37.5,0.3,-2.5,16.2,34.1,100.3,3.6,41.9,9.3
