,발전설비,,,,,총발전량,,,,,소내전력량,,,,송배전손실량,,판매전력량,,,,,,,,,,
연도,수력(MW),화력(MW),원자력(MW),자가용(MW),총계(MW),수력(GWh),화력(GWh),원자력(GWh),자가용(GWh),총계(GWh),소내전력량(GWh),소내전력률(%),양수용전력량(GWh),송전단전력량(GWh),송배전손실량(GWh),송배전손실률(%),판매전력량(GWh),수요성장률(%),최대전력(발전단)(MW),평균전력(MW),부하율(%),이용율(%),열효율(%),평균판매단가(원/kWh),고객호수(천호),종업원수(명),인구1인당 소비전력량(kWh/명)
1994,2492.59,18641.3,7615.683,4563.122,33312.695,4098.252,100642.24,58650.918,19974.12,183365.532,7401.5,4.53,2372.85,155218.43,8677.93,5.59,146540.5,14.7,26696,18834.79,70.6,65.4,38.16,60.22,12160.98,30180,3297
1993,2503.71,17534.3,7615.683,4163.118,31816.811,6006.079,78744.19,58138.203,19012.48,161900.951,6748.91,4.72,2415.37,135272.54,7538.61,5.57,127733.92,10.8,22112,16488.22,74.6,61.6,37.34,58.9,11499.37,29892,2899
1992,2497.79,14006.6,7615.683,3976.163,28096.236,4863.223,68152.62,56530.214,16893.23,146439.284,6236.07,4.81,2417.65,122308.82,7064.84,5.78,115243.98,10.4,20437.51,14909.21,72.9,64.9,36.73,58.09,10747.59,29609,2639
1991,2444.54,11050.4,7615.683,3460.006,24570.629,5050.732,56645.34,56310.75,13609.32,131616.144,5919.78,5.02,2127.53,110571.2,6197.18,5.6,104374.02,10.6,19123.62,13540.93,70.8,63.8,36.93,54.23,10052.77,28268,2412
1990,2340.04,11065.4,7615.683,3034.77,24055.893,6361.353,48145.11,52886.562,11067.77,118460.795,5394.57,5.02,2272.2,100002.74,5619.45,5.62,94383.29,14.8,17251.68,12291.04,71.2,58.4,36.99,52.94,9315.21,27329,2202
1989,2338.66,10942.7,7615.683,2581.32,23478.363,4557.95,42227.71,47365.172,9472.79,103623.615,4804.73,5.1,2154.83,87512.18,5320.31,6.08,82191.86,10.6,15057.54,10784.44,71.6,52.3,36.8,55.43,8702.52,26138,1939
1988,2235.74,11042.7,6665.683,2349.881,22294.004,3566.076,41525.73,40100.672,7916.37,93108.85,4467.36,5.24,2139.24,78855.49,4537.77,5.75,74317.73,15.8,13657.59,9729.29,71.2,49.4,36.68,59.49,8109.63,24943,1771
1987,2232.27,11072.55,5715.683,1957.149,20977.652,5344.2,29164.51,39314.19,6428.45,80251.35,3827.88,5.19,1889.19,68274.72,4105.64,6.01,64169.08,14,11038.7,8446.55,76.5,44.4,36.26,63.48,7659.36,24324,1543
1986,2224.55,11069.85,4765.683,1546.438,19606.521,4019.38,32282.15,28311.217,5067.85,69680.6,3645.64,5.64,1231.29,59818.13,3508.61,5.87,56309.53,11,9914.7,7385.28,74.5,41.7,36.8,65.51,7298.67,23696,1367
1985,2223.17,11047.85,2865.683,1503.279,17639.982,3659.08,37529.58,16745.341,4733.2,62667.2,3422.74,5.91,676.358,53908.28,3176.18,5.89,50732.1,7.8,9348.94,6621.85,70.8,43.5,36.98,67.92,6931.17,22760,1243
1984,1201.73,11072.85,1915.683,1354.186,15544.449,2398.735,39600.93,11792.059,4559.92,58351.64,2999.74,5.58,570.093,50237.76,3186.62,6.34,47051.14,10.4,8811.11,6125.64,69.5,43.2,37.07,67.42,6621.3,21944,1164
1983,1201.73,9997.85,1915.683,1281.871,14397.134,2722.617,37152.53,8965.058,4196.61,53036.82,2746.22,5.62,609.31,45494.8,2874.41,6.32,42620.38,12.5,7601.92,5576.52,73.4,42.5,36.96,67.71,6341.63,21424,1068
